id,English,Japanese,Russian,Chinese (Simplified),French,Germany,Korean,Portugeses,Spanish
tutorial_1_0.text,That's it!,それです,Вот и все!,就是这样！,C'est tout !,Das ist es!,바로 그거예요!,,
tutorial_1_1.text,How To Play,プレイ方法,Как играть,如何玩,Comment jouer,Spielanleitung,게임 방법,,
tutorial_1_2.text,Slide left or right,左右にスライスさせます,Перетащите вправо или влево,向左或向右滑动,Glisser à gauche ou à droite,Nach links oder rechts schieben,왼쪽 또는 오른쪽으로 슬라이드하세요,,
tutorial_1_3.text,Release,離す,Отпустите,释放,Version,Loslassen,손을 놓으세요,,
tutorial_1_4.text,Make full rows,列を完成させます,列を完成させます,创造完整的行,Faire des lignes complètes,Bilde volle Zeilen,전체 줄을 만드세요,,
tutorial_1_5.button,Let's do it,さあ実際にやってみましょう！,Приступим,让我们做吧,Allons-y,Machen wir das,해봅시다,,
tutorial_final_1.text,Drag blocks and make full rows,ブロックをドラッグして、横一列を完成させよう！,Перетаскивайте блоки, чтобы заполнить ряды,拖动积木并创造完整的行,Faites glisser les blocs et composez des lignes complètes,Ziehe Blöcke und erstelle ganze Reihen.,블록을 드래그해 전체 줄을 만드세요,,
tutorial_final_2.text,Just remember: no color matching needed,覚えておいてほしいの \nは色を合わせる必要はな\nいということです。,"Не забывайте, что цвета не играют никакой роли",请记住：不需要颜色匹配,Rappelez-vous : aucun appariement des couleurs n'est requis,Du musst nicht auf die Farben achten.,주의할 점: 색상이 일치할 필요는 없어요,,
tutorial_1.text,Slide the cat block to the LEFT,左に猫のブロックをスライドしてください。,Передвиньте блок с котом влево.,向左滑动猫块。,Faites glisser le bloc chat vers la GAUCHE.,Schiebe den Katzenblock nach LINKS.,왼쪽으로 고양이 블록을 밀어주세요.,,
tutorial_2.text,"Yay, slide RIGHT to make a COMBO!",やった、右にスライドしてコンボを作ろう！,"Ура, передвиньте вправо, чтобы сделать КОМБО!",耶，向右滑动来制造连击！,"Youpi, glissez à DROITE pour faire un COMBO!","Juhu, schiebe nach RECHTS, um ein KOMBO zu machen!","야호, 오른쪽으로 밀어 콤보를 만들어요!",,
tutorial_3.text,Fantastic! Let’s make more COMBOS!,素晴らしい！もっとコンボを作ろう！,Фантастика! Давайте делать больше КОМБО!,太棒了！让我们制造更多连击！,Fantastique! Faisons plus de COMBOS!,Fantastisch! Lass uns mehr KOMBOS machen!,멋지다! 더 많은 콤보를 만들어 봅시다!,,
tutorial_4.text,TUTORIAL COMPLETED,チュートリアルを完了,ОБУЧЕНИЕ ЗАВЕРШЕНО,教程完成,TUTORIEL COMPLET,TUTORIAL ABGESCHLOSSEN ,튜토리얼 완료,,
tutorial_5.text,No color matching needed. The game is over when a cat reaches the top.,色の一致は必要ありません。\n猫が上に到達するとゲームは終了です。,"Соответствие цветов не требуется. Игра заканчивается,\nкогда кот достигнет вершины.",不需要颜色匹配。当猫到达顶部时\n游戏将结束。,Pas besoin d'assortir les couleurs. Le jeu se termine\nquand un chat atteint le sommet.,"Keine Farbabstimmung erforderlich. Das Spiel ist vorbei,\nwenn eine Katze die Spitze erreicht.",색상 일치가 필요 없습니다. 고양이가 정상에 도달하면\n게임은 끝납니다.,,
tutorial_6.text,The game is over when a cat reaches the top., 猫が一番上までいくとゲームは終了です。 ,"Игра заканчивается, когда кот добирается до вершины.",当猫爬到顶部时，游戏结束。,Le jeu se termine lorsqu'un\n chat arrive au sommet. ,"Das Spiel endet, wenn eine Katze oben ist.",고양이가 정상에 오르면 게임이 끝납니다. ,,
tutorial_7.text,PLAY NOW!,今すぐプレイ！,ИГРАТЬ СЕЙЧАС!,现在就玩！,JOUEZ MAINTENANT !,JETZT SPIELEN!,지금 플레이하세요!,,
tutorial_8.text,Let's get a sticker!,ステッカーをもらおう！,А давайте получим наклейку!,让我们获得一个贴纸！,Prenons un autocollant !,Hol dir einen Sticker!,스티커를 받으세요!,,
tutorial_9.text,It's a LIGHTING Block!\nClear it and it'll zap all the nearby blocks away.,見て！これは近くの猫をクリアで\nきるHaru のライトニングです。,"Смотрите! МОЛНИЯ Хару уже здесь,\nчтобы убрать ближайших котов.",看！这里有Haru闪电，\n能清除附近的猫。,Regardez ! Haru LIGHTNING est là pour\nsupprimer les chats à proximité.,Sieh mal!Der Haru BLITZ räumt die Katzen\n in der Nähe weg.,보세요! \nHaru 번개는 근처의 고양이를 제거합니다.,,
tutorial_10.text,Clear this GIFT Block to claim rewards!,急いで！できるだけ多くのギフトを集めよう！,СПЕШИТЕ! Соберите как можно больше подарков,赶快！收集尽可能多的礼物,VITE ! Collectez autant de cadeaux que possible,SCHNELLLL! Sammle möglichst viele Geschenke.,서두르세요! 가능한 많은 선물을 모으십시오,,
tutorial_11.text,See that? It’s a FROZEN Block!\n It needs to be cleared twice.,これは Haru のフローズン!\n 2 回クリアする必要があります,Это ЗАМОРОЖЕННЫЙ Хару!\n Необходимо очистить дважды,这是Haru冰冻！需要清除两次,C'est Haru FROZEN !\n Doit supprimer deux fois,Das ist Haru. Er ist GEFROREN!\n Muss zweimal entfernt werden.,Haru 프로즌입니다! 두 번 클리어해야 함,,
tutorial_12.text,"Attention! It's a SEALED Block,\nwhich cannot be moved",見る！これは動かせない Haru のシールド!,"Смотрите! Здесь ЗАПЕЧАТАННЫЙ Хару,\nкоторого нельзя переместить!",看！这里有Haru封印，无法移动！,"Regardez ! Haru SEALED est là,\nqui ne peut pas être déplacé !",Pass auf! Das ist ein VERSIEGELTER Haru.\nEr kann nicht bewegt werden!,"보세요! 움직일 수 없는, Haru 실드가 여기 있습니다!",,
tutorial_13.text,Move quickly!\nThe BOMB block must be cleared in 5 moves.,気をつけて！Haru のボムには一番大きい\n猫を吹き飛ばすマジックパワーがあります。,"Осторожно! БОМБА Хару обладает магией,\nпозволяющей унести самого большого кота",小心！Haru炸弹具有将最大的猫吹走的魔力,Attention ! Haru BOMB a la magie de \nfaire sauter le plus gros chat,Vorsicht! Haru BOMBE kann mit seiner\n Magie die größte Katze wegblasen.,조심해요! Haru 폭탄은 가장 큰\n 고양이를 날려 버리는 \n마법을 가지고 있습니다.,,
